Unnamed: 0,카페 번호,카페 이름,도로명 주소,URL
0,1486868804.0,롤앤베이크,전남 목포시 영산로40번길 3-2 1층,https://m.place.naver.com/restaurant/1486868804/home
1,1848357224.0,내안의 커피,전남 목포시 신흥로83번길 17 1층,https://m.place.naver.com/restaurant/1848357224/home
2,16764370.0,씨엘비베이커리,전남 목포시 영산로75번길 14 1층,https://m.place.naver.com/restaurant/16764370/home
3,1221239040.0,코롬방제과점,전남 목포시 영산로75번길 7,https://m.place.naver.com/restaurant/1221239040/home
4,1577501181.0,페어링,전남 목포시 미항로 139,https://m.place.naver.com/restaurant/1577501181/home
5,1416812341.0,SUKSAN,전남 목포시 고하대로 588,https://m.place.naver.com/restaurant/1416812341/home
6,1484544973.0,커피창고로,전남 목포시 평화로 51,https://m.place.naver.com/restaurant/1484544973/home
7,1086957001.0,라니카이,"전남 목포시 북항로 188 106~9호 3, 4층",https://m.place.naver.com/restaurant/1086957001/home
8,1272287731.0,요굴뚝,전남 목포시 연산백련로7번길 8-4 1층 101호,https://m.place.naver.com/restaurant/1272287731/home
9,1338668703.0,카페델마르,전남 목포시 해양대학로 77 3층,https://m.place.naver.com/restaurant/1338668703/home
10,1779831903.0,대반동201,전남 목포시 해양대학로 59 유달유원지 2층,https://m.place.naver.com/restaurant/1779831903/home
11,1154216296.0,카페지제이,전남 목포시 해양대학로 20 1층,https://m.place.naver.com/restaurant/1154216296/home
12,1757446204.0,테라스201,전남 목포시 해양대학로 70-1 테라스201,https://m.place.naver.com/restaurant/1757446204/home
13,1672332203.0,SONGJART,전남 목포시 해안로173번길 15-3 송자르트 베이커리 카페 & 레스토랑,https://m.place.naver.com/restaurant/1672332203/home
14,1256278263.0,가비1935,전남 목포시 영산로 18,https://m.place.naver.com/restaurant/1256278263/home
15,1737058016.0,오무아,전남 목포시 해안로148번길 23 1층,https://m.place.naver.com/restaurant/1737058016/home
16,1086685070.0,인디파사드,전남 목포시 영산로29번길 9-2,https://m.place.naver.com/restaurant/1086685070/home
17,1124514954.0,커피창고로,전남 목포시 청호로219번길 34-15 북항씨푸드타운 2차 102호,https://m.place.naver.com/restaurant/1124514954/home
18,1766620743.0,인스파이어링 커피,전남 목포시 호남로64번길 22-1,https://m.place.naver.com/restaurant/1766620743/home
19,1531114021.0,런디드오프,전남 목포시 호남로64번길 28-1 2층,https://m.place.naver.com/restaurant/1531114021/home
20,498689822.0,스트로베리팩토리,전남 목포시 교육로 38 백상빌딩,https://m.place.naver.com/restaurant/498689822/home
21,1170918272.0,나리옥,전남 목포시 해안로 2-1 2층,https://m.place.naver.com/restaurant/1170918272/home
22,1577501181.0,페어링,전남 목포시 미항로 139,https://m.place.naver.com/restaurant/1577501181/home
23,1059845402.0,쿠레레,전남 목포시 해안로229번길 19 1층,https://m.place.naver.com/restaurant/1059845402/home
24,1876232900.0,spatial cafe,전남 목포시 청호로 179-1,https://m.place.naver.com/restaurant/1876232900/home
25,1305193977.0,오거리숭커피,전남 목포시 해안로249번길 38-1,https://m.place.naver.com/restaurant/1305193977/home
26,419927842.0,룰리스x아흐레,전남 목포시 미항로 97,https://m.place.naver.com/restaurant/419927842/home
27,1271607839.0,씨엘비베이커리 2호점,전남 목포시 영산로75번길 14-1 1층,https://m.place.naver.com/restaurant/1271607839/home
28,1687774488.0,무가보,전남 목포시 영산로 19-1 2층,https://m.place.naver.com/restaurant/1687774488/home
29,1345452100.0,하이디저트,전남 목포시 원산중앙로 51 127호(지도에 온고을명가 입력-> 바로 맞은편 위치),https://m.place.naver.com/restaurant/1345452100/home
30,1099584939.0,차오르다,전남 목포시 미항로 141,https://m.place.naver.com/restaurant/1099584939/home
31,1725446516.0,유달유업,전남 목포시 북항로 119,https://m.place.naver.com/restaurant/1725446516/home
32,1745357014.0,버터피크닉,전남 목포시 하당로68번길 10-1 버터피크닉,https://m.place.naver.com/restaurant/1745357014/home
33,1361289728.0,유달동의로망스,전남 목포시 번화로 19 1층,https://m.place.naver.com/restaurant/1361289728/home
34,15018549.0,행복이가득한집카페,전남 목포시 해안로165번길 45,https://m.place.naver.com/restaurant/15018549/home
35,31675174.0,딸기네집케이크,전남 목포시 하당로 78 1층,https://m.place.naver.com/restaurant/31675174/home
36,1134675621.0,온스,전남 목포시 미항로 145 온스카페,https://m.place.naver.com/restaurant/1134675621/home
37,37928687.0,since2014 목포과일모찌 본점,전남 목포시 영산로75번길 4 1층,https://m.place.naver.com/restaurant/37928687/home
38,1603000487.0,목포왕꽈배기 신자유시장본점,전남 목포시 용당로 54-1,https://m.place.naver.com/restaurant/1603000487/home
39,1764848073.0,레테커피,전남 목포시 하당로227번길 23-1 레테커피,https://m.place.naver.com/restaurant/1764848073/home
40,1880401758.0,목포낭만샌드,전남 목포시 노적봉길 6 1층,https://m.place.naver.com/restaurant/1880401758/home
41,1396795086.0,카페산정,전남 목포시 산정언덕로 11 카페산정,https://m.place.naver.com/restaurant/1396795086/home
42,1759937892.0,카페닻,전남 목포시 해양대학로139번길 23 카페닻,https://m.place.naver.com/restaurant/1759937892/home
43,1380998961.0,캑티,전남 목포시 산정로21번길 11 1층,https://m.place.naver.com/restaurant/1380998961/home
44,1976435825.0,인헤르또,전남 목포시 평화로 57,https://m.place.naver.com/restaurant/1976435825/home
45,1158269852.0,잉글리쉬크림티하우스영국다방,전남 목포시 자유로20번길 31,https://m.place.naver.com/restaurant/1158269852/home
46,1815550207.0,커피이십센치목포점,전남 목포시 복산길 24 1층,https://m.place.naver.com/restaurant/1815550207/home
47,1457769320.0,그랜마당,전남 목포시 비파로43번길 31-1,https://m.place.naver.com/restaurant/1457769320/home
48,1537805022.0,바다풍경,전남 목포시 삼학로 88-56 요트마리나 2층 바다풍경,https://m.place.naver.com/restaurant/1537805022/home
49,16784978.0,그린하우스제과점,전남 목포시 신흥로 24,https://m.place.naver.com/restaurant/16784978/home
50,34922679.0,브릭레인,전남 목포시 영산로75번길 27 2F,https://m.place.naver.com/restaurant/34922679/home
51,33021712.0,스타벅스 목포평화광장점,전남 목포시 미항로 137,https://m.place.naver.com/restaurant/33021712/home
52,1828129077.0,스마일찹쌀꽈배기목포점,전남 목포시 남악1로52번길 58,https://m.place.naver.com/restaurant/1828129077/home
53,38522658.0,기찻길315,전남 목포시 용당로264번길 16 1~2층,https://m.place.naver.com/restaurant/38522658/home
0,1083756722.0,망고루 체인본부,전남 목포시 평화로 38 1층,https://m.place.naver.com/restaurant/1083756722/home
1,1283947890.0,유달산장,전남 목포시 유달로 119,https://m.place.naver.com/restaurant/1283947890/home
2,87403811.0,박태민과자점,전남 목포시 원산중앙로 7 진프라자 1f,https://m.place.naver.com/restaurant/87403811/home
3,1848357224.0,내안의 커피,전남 목포시 신흥로83번길 17 1층,https://m.place.naver.com/restaurant/1848357224/home
4,37397589.0,스타벅스 목포북항DT점,전남 목포시 고하대로 694,https://m.place.naver.com/restaurant/37397589/home
5,1993331998.0,낭만열차1953,전남 목포시 용당로263번길 8,https://m.place.naver.com/restaurant/1993331998/home
6,1509350693.0,어썸,전남 목포시 후광대로105번길 17-2 1층,https://m.place.naver.com/restaurant/1509350693/home
7,1435087828.0,카페인평광,전남 목포시 원형서로 46-1 양우비치팰리스 상가1층,https://m.place.naver.com/restaurant/1435087828/home
8,1888608512.0,쌔맨,전남 목포시 평화로61번길 10 1층,https://m.place.naver.com/restaurant/1888608512/home
9,1934615046.0,오늘의페이지,전남 목포시 동부로52번길 38-3,https://m.place.naver.com/restaurant/1934615046/home
10,1663927263.0,케이크벨라무르,전남 목포시 원형서로 46-1 1층 113호,https://m.place.naver.com/restaurant/1663927263/home
11,1440455899.0,케이커,전남 목포시 영산로59번길 32-1 1층,https://m.place.naver.com/restaurant/1440455899/home
12,1157242712.0,커피파나쉐 전망대점,전남 목포시 고하도안길 234,https://m.place.naver.com/restaurant/1157242712/home
13,1522603377.0,호텔목화 카페&베이커리,전남 목포시 유동로36번길 15 호텔목화카페,https://m.place.naver.com/restaurant/1522603377/home
14,1587398393.0,하얀목화 아이스크림 유달본점,전남 목포시 유동로 55 1층 하얀목화,https://m.place.naver.com/restaurant/1587398393/home
15,1556142868.0,티하우스클리프,전남 목포시 후광대로105번안길 33-7,https://m.place.naver.com/restaurant/1556142868/home
16,1552933416.0,파흐,전남 목포시 삼학로 386 2동 1층(용해동),https://m.place.naver.com/restaurant/1552933416/home
17,1903557049.0,빵집 오붓한생,전남 목포시 해안로237번길 24 1층,https://m.place.naver.com/restaurant/1903557049/home
18,1905076057.0,또야미,전남 목포시 영산로 648-24 라송센트럴 카운티5차 아파트 상가 103호,https://m.place.naver.com/restaurant/1905076057/home
19,1770824382.0,니즈커피,전남 목포시 용해로59번길 15,https://m.place.naver.com/restaurant/1770824382/home
20,1940530613.0,카페희온,전남 목포시 용해로86번길 12-1 1층 카페희온,https://m.place.naver.com/restaurant/1940530613/home
21,1404945597.0,밀키샵 목포점,전남 목포시 미항로 87-1 1층,https://m.place.naver.com/restaurant/1404945597/home
22,1193719699.0,동굴카페씨크릿,전남 목포시 해안로237번길 30-3,https://m.place.naver.com/restaurant/1193719699/home
23,1015971169.0,포비츠커피,전남 목포시 비파로43번길 40 1층,https://m.place.naver.com/restaurant/1015971169/home
24,1040676216.0,유달샌드,전남 목포시 노적봉길 7,https://m.place.naver.com/restaurant/1040676216/home
25,1658382449.0,카페버닝,전남 목포시 하당로 40 1층 카페버닝,https://m.place.naver.com/restaurant/1658382449/home
26,1669116958.0,버터크림,전남 목포시 비파로43번길 14,https://m.place.naver.com/restaurant/1669116958/home
27,1524636107.0,프랭크커핀바 목포 평화광장점,전남 목포시 평화로 44 1층,https://m.place.naver.com/restaurant/1524636107/home
28,1510129472.0,끼아라,전남 목포시 옥암로 168-6 1층,https://m.place.naver.com/restaurant/1510129472/home
29,1860511805.0,토브공작소,전남 목포시 복산길 52-1 토브공작소,https://m.place.naver.com/restaurant/1860511805/home
30,13125039.0,미추리빵 본점,전남 목포시 자유로82번길 2,https://m.place.naver.com/restaurant/13125039/home
31,1160869507.0,더스톤,전남 목포시 미항로 71 1층 더스톤,https://m.place.naver.com/restaurant/1160869507/home
